idx,alias,input_tag,full_name,industry_l1,industry_l2,industry_match,expected_tokens,competitors,top5,suppliers,customers,suggest_preview
1,德赛西威,智能座舱/域控,惠州市德赛西威汽车电子股份有限公司,汽车,智能零部件,YES,智能网联/汽车/汽车供应链/电子/软件,5,5,4,4,惠州市德赛西威汽车电子股份有限公司
2,华阳集团,智能座舱/HUD/车载电子,华阳集团,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
3,均胜电子,汽车电子/安全/座舱,宁波均胜电子股份有限公司,汽车,智能零部件,YES,智能网联/汽车/汽车供应链/电子/软件,7,5,4,4,宁波均胜电子股份有限公司
4,航盛电子,车载信息娱乐/座舱,航盛电子有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,航盛电子有限公司 | 航盛电子股份有限公司
5,继峰股份,座椅/座舱部件与系统,继峰股份股份有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,继峰股份股份有限公司
6,中科创达,智能座舱软件/OS/生态,中科创达软件股份有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,中科创达软件股份有限公司
7,东软集团,汽车软件/座舱/车联网,东软集团,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
8,博泰车联网,车联网/座舱,博泰车联网,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
9,亿咖通科技,智能座舱平台,湖北亿咖通科技有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,湖北亿咖通科技有限公司
10,四维图新,地图/定位/座舱生态,北京四维图新科技股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,北京四维图新科技股份有限公司
11,高德,地图/定位/出行,武汉高德红外股份有限公司,综合,综合行业,NO,,12,0,4,4,
12,百度 Apollo,智能驾驶平台/定位/地图,百度 Apollo,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,
13,华为智能汽车解决方案,智能座舱/智驾/车控,华为智能汽车解决方案有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,华为智能汽车解决方案有限公司 | 华为智能汽车解决方案股份有限公司
14,中兴通讯车联网,V2X/车联网,中兴通讯股份有限公司,ICT,通信技术服务,NO,智能网联/汽车/汽车供应链/电子/软件,7,5,1,2,中兴通讯股份有限公司
15,星网宇达,惯导/组合导航,北京星网宇达科技股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,1,1,北京星网宇达科技股份有限公司
16,北斗星通,北斗/GNSS/定位,江苏北斗星通汽车电子有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,江苏北斗星通汽车电子有限公司
17,华测导航,GNSS/RTK/定位,上海华测导航技术股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,上海华测导航技术股份有限公司
18,千寻位置,高精度定位服务,千寻位置网络有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,千寻位置网络有限公司
19,合众思壮,GNSS/北斗/定位,北京合众思壮科技股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,北京合众思壮科技股份有限公司
20,司南导航,GNSS/定位,上海司南卫星导航技术股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,上海司南卫星导航技术股份有限公司
21,华大北斗,北斗芯片/定位,华大北斗,综合,综合行业,NO,半导体/定位/导航/智能网联/汽车供应链/电子/芯片/软件,0,0,4,4,
22,和芯星通,GNSS芯片/模块,和芯星通,综合,综合行业,NO,半导体/定位/导航/智能网联/汽车供应链/电子/芯片/软件,0,0,4,4,
23,移远通信,车载模组/通信/定位,上海移远通信技术股份有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,上海移远通信技术股份有限公司
24,广和通,车载通信模组,广和通,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
25,美格智能,蜂窝/车载模组,美格智能技术股份有限公司,工业,通信设备制造,NO,智能网联/汽车/汽车供应链/电子/软件,12,5,2,2,美格智能技术股份有限公司
26,中科星图,时空大数据/定位相关,中科星图空间技术有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,中科星图空间技术有限公司
27,卡斯柯,轨交/信号与定位相关技术,卡斯柯,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,
28,经纬恒润,汽车电子/域控/软件,经纬恒润,综合,综合行业,NO,汽车/电子/软件,0,0,4,4,
29,诚迈科技,操作系统/座舱软件,诚迈科技股份有限公司,服务业,软件开发,NO,,4,5,2,1,
30,普华基础软件,车载基础软件/OS,普华基础软件股份有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,普华基础软件股份有限公司
31,中汽研,测试认证/功能安全相关生态,中汽研,综合,综合行业,NO,汽车/电子/软件,0,0,2,2,
32,地平线,智驾芯片/域控生态,南京地平线机器人技术有限公司,电子信息,半导体芯片,YES,半导体/智能网联/汽车/汽车供应链/电子/芯片/软件,5,5,5,5,南京地平线机器人技术有限公司
33,黑芝麻智能,车规芯片/智驾,黑芝麻智能有限公司,综合,综合行业,NO,半导体/智能网联/汽车/汽车供应链/电子/芯片/软件,0,0,4,4,黑芝麻智能有限公司 | 黑芝麻智能股份有限公司
34,芯驰科技,车规 SoC/座舱/网关,芯驰科技（上海）有限公司,综合,综合行业,NO,半导体/智能网联/汽车/汽车供应链/电子/芯片/软件,0,0,4,4,芯驰科技（上海）有限公司
35,紫光展锐,通信/车载连接相关,紫光展锐（上海）科技有限公司,电子信息,半导体芯片,YES,智能网联/汽车/汽车供应链/电子/软件,5,5,5,5,紫光展锐（上海）科技有限公司
36,联发科,车载座舱/连接 SoC,联发科技股份有限公司,新兴重点产业,芯片设计,YES,半导体/智能网联/汽车/汽车供应链/电子/芯片/软件,9,5,2,2,联发科技股份有限公司
37,高通,车载座舱/连接/平台,上海高通半导体有限公司,工业,半导体制造,NO,智能网联/汽车/汽车供应链/电子/软件,5,5,5,5,上海高通半导体有限公司
38,英伟达 NVIDIA,智驾计算平台,英伟达 NVIDIA,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
39,Mobileye,ADAS/视觉方案,Mobileye,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
40,博世 Bosch,ADAS/底盘/传感器/ECU,博世 Bosch,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
41,大陆 Continental,ADAS/座舱/传感器,大陆 Continental,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
42,采埃孚 ZF,底盘/智驾/转向,采埃孚 ZF,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
43,安波福 Aptiv,车载架构/连接/域控,安波福 Aptiv,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
44,法雷奥 Valeo,ADAS 传感器/座舱,法雷奥 Valeo,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
45,电装 DENSO,汽车电子/控制器/传感器,电装 DENSO,综合,综合行业,NO,汽车/电子/软件,0,0,4,4,
46,松下车载,车载电子/娱乐,松下车载,综合,综合行业,NO,,0,0,4,4,
47,哈曼 HARMAN,车载娱乐/座舱,哈曼 HARMAN,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
48,伟世通 Visteon,座舱/域控,伟世通 Visteon,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
49,博泽 Brose,车身电子/机电,博泽 Brose,综合,综合行业,NO,汽车/电子/软件,0,0,1,1,
50,海拉 HELLA,照明/电子/传感器,上海海拉电子有限公司,综合,综合行业,NO,汽车/电子/软件,0,0,4,4,上海海拉电子有限公司
51,纵目科技,ADAS/泊车,纵目科技(上海)股份有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,纵目科技(上海)股份有限公司
52,Momenta,高阶辅助驾驶软件,Momenta,综合,综合行业,NO,汽车/电子/软件,0,0,4,4,
53,小马智行,自动驾驶,小马智行,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
54,文远知行,自动驾驶,文远知行,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
55,轻舟智航,自动驾驶,轻舟智航,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
56,元戎启行,自动驾驶,元戎启行,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
57,蘑菇车联,车路协同/V2X,蘑菇车联,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
58,千方科技,交通/车路协同/感知,千方科技有限公司,综合,综合行业,NO,汽车/电子/软件,0,0,4,4,千方科技有限公司 | 千方科技股份有限公司
59,赛目科技,自动驾驶仿真/测试,赛目科技有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,赛目科技有限公司 | 赛目科技股份有限公司
60,禾多科技,自动驾驶/智驾方案,禾多科技有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,禾多科技有限公司 | 禾多科技股份有限公司
61,佑驾创新,ADAS/智能驾驶,佑驾创新,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
62,驭势科技,自动驾驶/物流场景,驭势科技有限公司,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,驭势科技有限公司 | 驭势科技股份有限公司
63,仙途智能,无人环卫/车路协同,上海仙途智能科技有限公司,综合,综合行业,NO,汽车/电子/软件,0,0,4,4,上海仙途智能科技有限公司
64,图森未来,干线自动驾驶,图森未来,综合,综合行业,NO,智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,
65,华域汽车,Tier1 集团，覆盖多类系统,华域汽车系统股份有限公司,综合,综合行业,NO,,0,0,4,4,
66,延锋,座舱系统/内饰与电子集成,上海延锋金桥汽车饰件系统有限公司,综合,综合行业,NO,,0,0,4,4,
67,联合汽车电子,动力/电控/电子系统,联合汽车电子有限公司,综合,综合行业,NO,,0,0,4,4,
68,伯特利,制动/线控底盘与电子,伯特利,综合,综合行业,NO,汽车/电子/软件,0,0,4,4,
69,拓普集团,底盘/热管理/机电系统,拓普集团,汽车,智能零部件,YES,汽车/电子/软件,5,5,4,4,
70,保隆科技,TPMS/传感器/空气悬架等,保隆科技有限公司,综合,综合行业,NO,,0,0,8,4,
71,德尔股份,电泵/电控/机电系统,德尔股份股份有限公司,综合,综合行业,NO,,0,0,4,4,
72,精进电动,电驱/电控,精进电动科技股份有限公司,综合,综合行业,NO,,0,0,4,4,
73,汇川联合动力,电驱/电控,苏州汇川联合动力系统股份有限公司,综合,综合行业,NO,,0,0,4,4,
74,英搏尔,电机/电控,英搏尔,综合,综合行业,NO,,0,0,2,4,
75,比亚迪半导体,车规功率器件/芯片,比亚迪股份有限公司,汽车,整车,YES,半导体/新能源/汽车/电子/芯片,10,5,2,2,比亚迪股份有限公司 | 上海类比半导体技术有限公司
76,斯达半导,车规 IGBT/功率器件,斯达半导体股份有限公司,工业,半导体制造,YES,半导体/新能源/汽车/电子/芯片,5,5,5,5,斯达半导体股份有限公司
77,士兰微,功率器件/车规芯片,杭州士兰微电子股份有限公司,电子信息,半导体芯片,YES,半导体/新能源/汽车/电子/芯片,5,5,5,5,杭州士兰微电子股份有限公司
78,华润微,功率器件/车规,华润微电子控股有限公司,电子信息,半导体芯片,YES,半导体/新能源/汽车/电子,12,5,5,5,华润微电子控股有限公司 | 无锡华润微电子有限公司 | 无锡华润华晶微电子有限公司
79,中颖电子,MCU 等控制芯片相关,中颖电子股份有限公司,工业,半导体制造,YES,半导体/电子/芯片,12,5,5,5,中颖电子股份有限公司
80,纳芯微,车规模拟/隔离/传感接口,苏州纳芯微电子股份有限公司,工业,半导体制造,NO,汽车/电子/软件,12,5,5,5,苏州纳芯微电子股份有限公司
81,圣邦股份,模拟芯片/车规方向,圣邦股份股份有限公司,电子信息,半导体芯片,YES,半导体/电子/芯片,5,5,5,5,圣邦股份股份有限公司
82,思特威,图像传感器 CIS，车载方向,思特威（上海）电子科技股份有限公司,综合,综合行业,NO,,0,0,1,2,
83,格科微,CIS/传感器,格科微电子（上海）有限公司,电子信息,半导体芯片,YES,半导体/电子/芯片,5,5,5,5,格科微电子（上海）有限公司
84,舜宇光学,车载镜头/摄像头模组,舜宇光学科技（集团）有限公司,新兴重点产业,芯片设计,NO,智能网联/汽车/汽车供应链/电子/软件,8,5,2,2,舜宇光学科技（集团）有限公司
85,联创电子,车载镜头/光学,联创电子科技股份有限公司,综合,综合行业,NO,,12,0,4,4,
86,欧菲光,摄像头模组/车载方向,欧菲光集团股份有限公司,综合,综合行业,NO,,12,0,4,4,
87,大立科技,红外热成像/感知,浙江大立科技股份有限公司,综合,综合行业,NO,,0,0,4,4,
88,睿创微纳,红外/热成像传感,杭州微纳科技股份有限公司,综合,综合行业,NO,,0,0,1,4,
89,速腾聚创,激光雷达,速腾聚创,综合,综合行业,NO,,0,0,4,4,
90,禾赛科技,激光雷达,上海禾赛科技有限公司,综合,综合行业,NO,,0,0,4,4,
91,图达通,激光雷达,图达通智能科技（苏州）有限公司,综合,综合行业,NO,,0,0,4,4,
92,北醒科技,激光雷达/测距,北醒科技有限公司,综合,综合行业,NO,,0,0,4,4,
93,森思泰克,毫米波雷达/传感,森思泰克,综合,综合行业,NO,,0,0,4,4,
94,木牛科技,定位/车载相关方向,木牛科技有限公司,综合,综合行业,NO,定位/导航/智能网联/汽车/汽车供应链/电子/软件,0,0,4,4,木牛科技有限公司 | 木牛科技股份有限公司
95,中海达,GNSS/定位/测绘,中海达,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,
96,北方导航,惯导/导航相关,北方导航,综合,综合行业,NO,定位/导航/智能网联/汽车供应链/软件,0,0,4,4,
97,中国电科相关研究所体系,雷达/导航/车载电子产业链,中国电科相关研究所体系有限公司,综合,综合行业,NO,,0,0,4,4,
98,宁德时代,智能电动核心：电池/系统集成,宁德时代新能源科技股份有限公司,新能源,动力电池,YES,半导体/新能源/汽车/电子,6,5,4,3,宁德时代新能源科技股份有限公司 | 宁德时代（上海）智能科技有限公司
99,国轩高科,动力电池/系统集成,国轩高科股份有限公司,新能源,动力电池,YES,半导体/新能源/汽车/电子,4,5,4,4,国轩高科股份有限公司
